name,country,city,lat,lng,notes
DesiCrew,India,"Chennai, Tamil Nadu",,,has offices in US too despite HQ in india
NextWealth,India,"Bengaluru, Karnataka",,,has HQ in US too despite HQ in india
Ingedata,Singapore,Singapore,,,
Centific,United States,"Redmond, WA",,,
CloudFactory,United States,"Durham, NC",,,
Cognizant,United States,"Teaneck, NJ",,,
Digital Divide Data,United States,"New York, NY",,,
Impact Enterprise,United States,"Houston, TX",,,
Innodata,United States,"Ridgefield Park, NJ",,,
Keymakr,United States,"New York, NY",,,
Sama,United States,"San Francisco, CA",,,
TaskUs,United States,"New Braunfels, TX",,,
iMerit,United States,"San Jose, CA",,,
