name,country,city,notes
Digital Divide Data,United States,"New York, NY",
Sama,United States,"San Francisco, CA",
Centific,United States,"Redmond, WA",
TaskUs,United States,"New Braunfels, TX",
CloudFactory,United States,"Durham, NC",
Innodata,United States,"Ridgefield Park, NJ",
DesiCrew,India,"Chennai, Tamil Nadu",has offices in US too despite HQ in india
iMerit,United States,"San Jose, CA",
NextWealth,India,"Bengaluru, Karnataka",has HQ in US too despite HQ in india
Keymakr,United States,"New York, NY",
Impact Enterprise,United States,"Houston, TX",
Ingedata,Singapore,Singapore,
Cognizant,United States,"Teaneck, NJ",
