country,platform,city,address,method,source,notes
Argentina,Cognizant,Buenos Aires,"Tucumán 3720, Bulnes Street",Company website,https://www.cognizant.com/us/en/about-cognizant/contact-us,"only offices marked as ""Delivery Center"" are recorded"
Cambodia,Digital Divide Data,.,,Company website,https://www.digitaldividedata.com/#:~:text=Changing%20How%20the%20World%20Works,
Canada,Sama,Montréal,"6795 Rue Marconi #104,Montréal, Québec H2S 3J9Canada (Montréal)",Company website,https://www.sama.com/our-team,
Canada,Cognizant,Mississauga,"7100 West Credit Avenue ON, L5N 5N1",,https://www.cognizant.com/us/en/about-cognizant/contact-us,
China,Centific,Shanghai,,Company website,https://www.centific.com/company/locations,
China,Centific,Shenzhen,,Company website,https://www.centific.com/company/locations,
China,Centific,Beijing,,Company website,https://www.centific.com/company/locations,
China,Centific,Wuxi,,Company website,https://www.centific.com/company/locations,
China,Centific,Suzhou,,Company website,https://www.centific.com/company/locations,
China,Cognizant,Dalian,"Building No.9 6F-9F, Huixian Yuan, Ascendas Software Park, Dalian Hi-tech Industrial Zone",,https://www.cognizant.com/us/en/about-cognizant/contact-us,
China,Cognizant,Shanghai,"LUMINA 9F,801,809-812, No.175, Longyao Road, Xuhui District, Shanghai 200232",,https://www.cognizant.com/us/en/about-cognizant/contact-us,
Colombia,TaskUs,Cali,TaskUs Colombia SAS (Cali),SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Colombia,TaskUs,Barranquilla,,Company website,https://www.taskus.com/locations/,
Colombia,TaskUs,Medellín,,Company website,https://www.taskus.com/locations/,
Colombia,CloudFactory,.,,Company website,https://www.cloudfactory.com/careers,
Costa Rica,Sama,San José,,Company website,https://www.sama.com/our-team,
Croatia,TaskUs,Zagreb,TaskUs Croatia d.o.o. (Zagreb),SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
