country,company,company hq,method,specific location,source,notes
Cambodia,Digital Divide Data,,Locations listed on company website,.,https://www.digitaldividedata.com/#:~:text=Changing%20How%20the%20World%20Works,
Canada,"TaskUs, Inc.",,SEC 10-K Exhibit 21,"Ridiculously Good Outsourcing, Inc. ",https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Canada,"Samasource Impact Sourcing, Inc.",,Locations listed on company website,"6795 Rue Marconi #104,Montréal, Québec H2S 3J9Canada (Montréal)",https://www.sama.com/our-team,
China,Centific,,Locations listed on company website,Shanghai,https://www.centific.com/company/locations,
China,Centific,,Locations listed on company website,Shenzhen,https://www.centific.com/company/locations,
China,Centific,,Locations listed on company website,Beijing,https://www.centific.com/company/locations,
China,Centific,,Locations listed on company website,Wuxi,https://www.centific.com/company/locations,
China,Centific,,Locations listed on company website,Suzhou,https://www.centific.com/company/locations,
Colombia,"TaskUs, Inc.",,SEC 10-K Exhibit 22,TaskUs Colombia SAS (Cali),https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Colombia,CloudFactory,"Durham, USA",,.,https://www.cloudfactory.com/careers,has headquarter in US/UK/Nepal/Kenya
Costa Rica,"Samasource Impact Sourcing, Inc.",,Locations listed on company website,"Edificio Galerias del Este, Local 35 Curridabat, San José
Costa Rica",https://www.sama.com/our-team,
Croatia,"TaskUs, Inc.",,SEC 10-K Exhibit 23,TaskUs Croatia d.o.o. (Zagreb),https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Egypt,"TaskUs, Inc.",,SEC 10-K Exhibit 24,Ridiculously Good Outsourcing Egypt LLC (Cairo),https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Germany,CloudFactory,"Durham, USA",,.,https://www.cloudfactory.com/careers,
Greece,"TaskUs, Inc.",,SEC 10-K Exhibit 25,TaskUs Greece Single Member Société Anonyme (Athens),https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Kenya,"Samasource Impact Sourcing, Inc.",,Locations listed on company website,"2nd Floor, Block D3, Unit Dib and D2, LR NO 12081/10Sameer Business Park Mombasa Road
Nairobi, Kenya",https://www.sama.com/our-team,
Kenya,CloudFactory,"Durham, USA",,Nairobi,https://craft.co/cloudfactory/locations,
Kenya,Digital Divide Data,,Locations listed on company website,.,https://www.digitaldividedata.com/#:~:text=Changing%20How%20the%20World%20Works,
Laos,Digital Divide Data,,Locations listed on company website,.,https://www.digitaldividedata.com/#:~:text=Changing%20How%20the%20World%20Works,
