country,company,raw_location,lat,long,hq_address,hq_lat,hq_long,method,source_url,notes,needs_review
Cambodia,Digital Divide Data,.,,,,,,Locations listed on company website,https://www.digitaldividedata.com/#:~:text=Changing%20How%20the%20World%20Works,,0
Canada,"Samasource Impact Sourcing, Inc.","6795 Rue Marconi #104,Montréal, Québec H2S 3J9Canada (Montréal)",,,,,,Locations listed on company website,https://www.sama.com/our-team,,0
Canada,"TaskUs, Inc.","Ridiculously Good Outsourcing, Inc.",,,,,,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,,1
China,Centific,Shanghai,,,,,,Locations listed on company website,https://www.centific.com/company/locations,,0
China,Centific,Shenzhen,,,,,,Locations listed on company website,https://www.centific.com/company/locations,,0
China,Centific,Beijing,,,,,,Locations listed on company website,https://www.centific.com/company/locations,,0
China,Centific,Wuxi,,,,,,Locations listed on company website,https://www.centific.com/company/locations,,0
China,Centific,Suzhou,,,,,,Locations listed on company website,https://www.centific.com/company/locations,,0
Colombia,CloudFactory,.,,,"Durham, USA",,,,https://www.cloudfactory.com/careers,has headquarter in US/UK/Nepal/Kenya,0
Colombia,"TaskUs, Inc.",TaskUs Colombia SAS (Cali),,,,,,SEC 10-K Exhibit 22,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,,0
Costa Rica,"Samasource Impact Sourcing, Inc.","Edificio Galerias del Este, Local 35 Curridabat, San José
Costa Rica",,,,,,Locations listed on company website,https://www.sama.com/our-team,,1
Croatia,"TaskUs, Inc.",TaskUs Croatia d.o.o. (Zagreb),,,,,,SEC 10-K Exhibit 23,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,,0
Egypt,"TaskUs, Inc.",Ridiculously Good Outsourcing Egypt LLC (Cairo),,,,,,SEC 10-K Exhibit 24,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,,0
Germany,CloudFactory,.,,,"Durham, USA",,,,https://www.cloudfactory.com/careers,,0
Greece,"TaskUs, Inc.",TaskUs Greece Single Member Société Anonyme (Athens),,,,,,SEC 10-K Exhibit 25,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,,0
India,Centific,Chennai,,,,,,Locations listed on company website,https://www.centific.com/company/locations,,0
India,Centific,Hyderabad,,,,,,Locations listed on company website,https://www.centific.com/company/locations,,0
India,DesiCrew,Chennai,,,,,,Locations listed on company website,https://desicrew.in/about-us/company-profile/,has offices in US too despite HQ in india,0
India,DesiCrew,"Kaup, Karnataka",,,,,,Locations listed on company website,https://desicrew.in/about-us/company-profile/,,0
India,DesiCrew,"Villupuram, TN",,,,,,Locations listed on company website,https://desicrew.in/about-us/company-profile/,,0
India,DesiCrew,"Erode, TN",,,,,,Locations listed on company website,https://desicrew.in/about-us/company-profile/,,0
India,DesiCrew,"Kollu, TN",,,,,,Locations listed on company website,https://desicrew.in/about-us/company-profile/,,0
India,Innodata Inc.,Innodata India Private Limited (New Delhi),,,,,,SEC 10-K Exhibit 27,https://www.sec.gov/Archives/edgar/data/903651/000110465926020655/inod-20251231xex21.htm,,0
India,NextWealth,Mallasamudram,,,,,,Locations listed on company website,https://www.nextwealth.com/our-team/,has a HQ in the US despite a HQ in india,0
India,NextWealth,Salem,,,,,,Locations listed on company website,https://www.nextwealth.com/our-team/,,0
India,NextWealth,Puducherry,,,,,,Locations listed on company website,https://www.nextwealth.com/our-team/,,0
India,NextWealth,Jaipur,,,,,,Locations listed on company website,https://www.nextwealth.com/our-team/,,0
India,NextWealth,Udaipur,,,,,,Locations listed on company website,https://www.nextwealth.com/our-team/,,0
India,NextWealth,Kumbakonam,,,,,,Locations listed on company website,https://www.nextwealth.com/our-team/,,0
India,NextWealth,Chittoor,,,,,,Locations listed on company website,https://www.nextwealth.com/our-team/,,0
India,NextWealth,Vellore,,,,,,Locations listed on company website,https://www.nextwealth.com/our-team/,,0
India,NextWealth,Mysuru,,,,,,Locations listed on company website,https://www.nextwealth.com/our-team/,,0
India,NextWealth,Hubballi,,,,,,Locations listed on company website,https://www.nextwealth.com/our-team/,,0
India,NextWealth,Bhilai,,,,,,Locations listed on company website,https://www.nextwealth.com/our-team/,,0
India,"TaskUs, Inc.",TaskUs India Private Limited (Navi Mumbai),,,,,,SEC 10-K Exhibit 26,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,,0
