country,platform,city,lat,lng,method,source,notes
Argentina,Cognizant,Buenos Aires,,,Company website,https://www.cognizant.com/us/en/about-cognizant/contact-us,"only offices marked as ""Delivery Center"" are recorded"
Cambodia,Digital Divide Data,.,,,Company website,https://www.digitaldividedata.com/#:~:text=Changing%20How%20the%20World%20Works,
Canada,Cognizant,Mississauga,,,,https://www.cognizant.com/us/en/about-cognizant/contact-us,
Canada,Sama,Montréal,,,Company website,https://www.sama.com/our-team,
China,Centific,Shanghai,,,Company website,https://www.centific.com/company/locations,
China,Centific,Shenzhen,,,Company website,https://www.centific.com/company/locations,
China,Centific,Beijing,,,Company website,https://www.centific.com/company/locations,
China,Centific,Wuxi,,,Company website,https://www.centific.com/company/locations,
China,Centific,Suzhou,,,Company website,https://www.centific.com/company/locations,
China,Cognizant,Dalian,,,,https://www.cognizant.com/us/en/about-cognizant/contact-us,
China,Cognizant,Shanghai,,,,https://www.cognizant.com/us/en/about-cognizant/contact-us,
Colombia,CloudFactory,.,,,Company website,https://www.cloudfactory.com/careers,
Colombia,TaskUs,Cali,,,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Colombia,TaskUs,Barranquilla,,,Company website,https://www.taskus.com/locations/,
Colombia,TaskUs,Medellín,,,Company website,https://www.taskus.com/locations/,
Costa Rica,Sama,San José,,,Company website,https://www.sama.com/our-team,
Croatia,TaskUs,Zagreb,,,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Egypt,TaskUs,Cairo,,,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Germany,CloudFactory,,,,Company website,https://www.cloudfactory.com/careers,
Greece,TaskUs,Thessaloniki,,,Company website,https://www.taskus.com/locations/,
India,Centific,Chennai,,,Company website,https://www.centific.com/company/locations,
India,Centific,Hyderabad,,,Company website,https://www.centific.com/company/locations,
India,DesiCrew,Chennai,,,Company website,https://desicrew.in/about-us/company-profile/,
India,DesiCrew,"Kaup, Karnataka",,,Company website,https://desicrew.in/about-us/company-profile/,
India,DesiCrew,"Villupuram, TN",,,Company website,https://desicrew.in/about-us/company-profile/,
India,DesiCrew,"Erode, TN",,,Company website,https://desicrew.in/about-us/company-profile/,
India,DesiCrew,"Kollu, TN",,,Company website,https://desicrew.in/about-us/company-profile/,
India,Innodata,New Delhi,,,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/903651/000110465926020655/inod-20251231xex21.htm,
India,NextWealth,Mallasamudram,,,Company website,https://www.nextwealth.com/our-team/,
India,NextWealth,Salem,,,Company website,https://www.nextwealth.com/our-team/,
India,NextWealth,Puducherry,,,Company website,https://www.nextwealth.com/our-team/,
India,NextWealth,Jaipur,,,Company website,https://www.nextwealth.com/our-team/,
India,NextWealth,Udaipur,,,Company website,https://www.nextwealth.com/our-team/,
India,NextWealth,Kumbakonam,,,Company website,https://www.nextwealth.com/our-team/,
India,NextWealth,Chittoor,,,Company website,https://www.nextwealth.com/our-team/,
India,NextWealth,Vellore,,,Company website,https://www.nextwealth.com/our-team/,
India,NextWealth,Mysuru,,,Company website,https://www.nextwealth.com/our-team/,
India,NextWealth,Hubballi,,,Company website,https://www.nextwealth.com/our-team/,
India,NextWealth,Bhilai,,,Company website,https://www.nextwealth.com/our-team/,
India,TaskUs,Navi Mumbai,,,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
India,TaskUs,Chennai,,,Company website,https://www.taskus.com/locations/,
India,TaskUs,Gurugram,,,Company website,https://www.taskus.com/locations/,
India,TaskUs,Indore,,,Company website,https://www.taskus.com/locations/,
India,TaskUs,Mohali,,,Company website,https://www.taskus.com/locations/,
India,TaskUs,Noida,,,Company website,https://www.taskus.com/locations/,
India,iMerit,"Kolkata, India",,,Company website,https://imerit.ai/about-us/?utm_medium=ppc&utm_source=adwords&utm_campaign=Omni%20Lab%20l%20Google%20Ads%20l%20Brand%20l%20US&utm_term=imerit&utm_content=Brand,
India,iMerit,"Bengaluru, India",,,Company website,https://imerit.ai/about-us/?utm_medium=ppc&utm_source=adwords&utm_campaign=Omni%20Lab%20l%20Google%20Ads%20l%20Brand%20l%20US&utm_term=imerit&utm_content=Brand,
Ireland,TaskUs,Dublin,,,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Japan,TaskUs,Tokyo,,,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Kenya,CloudFactory,Nairobi,,,Company website,https://craft.co/cloudfactory/locations,
Kenya,Digital Divide Data,.,,,Company website,https://www.digitaldividedata.com/#:~:text=Changing%20How%20the%20World%20Works,
Kenya,Sama,Nairobi,,,Company website,https://www.sama.com/our-team,
Laos,Digital Divide Data,.,,,Company website,https://www.digitaldividedata.com/#:~:text=Changing%20How%20the%20World%20Works,
Madagascar,Digital Divide Data,.,,,Company website,https://www.digitaldividedata.com/#:~:text=Changing%20How%20the%20World%20Works,
Madagascar,Ingedata,Antananarivo,,,LinkedIn,https://www.linkedin.com/company/ingedata-group/?originalSubdomain=sg,
Malaysia,Centific,Johor,,,Company website,https://www.centific.com/company/locations,
Malaysia,Centific,Penang,,,Company website,https://www.centific.com/company/locations,
Malaysia,TaskUs,Petaling Jaya,,,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Mexico,TaskUs,Tijuana,,,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Mexico,TaskUs,Puebla,,,Company website,https://www.taskus.com/locations/,
Nepal,CloudFactory,Kathmandu,,,Company website,https://craft.co/cloudfactory/locations,
Netherlands,Sama,The Hague,,,Company website,https://www.sama.com/our-team,
Philippines,Ingedata,Pasig City,,,LinkedIn; Industry Site,https://ph.indeed.com/cmp/Ingedata-Philippines-Inc/locations,
Philippines,Ingedata,Makati City,,,LinkedIn; Industry Site,https://ph.indeed.com/cmp/Ingedata-Philippines-Inc/locations,
Philippines,Innodata,"Mandaue City, Cebu",,,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/903651/000110465926020655/inod-20251231xex21.htm,
Philippines,Innodata,Makati City,,,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/903651/000110465926020655/inod-20251231xex21.htm,
Philippines,TaskUs,Quezon City,,,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Philippines,TaskUs,Pasig,,,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Philippines,TaskUs,Batangas,,,Company website,https://www.taskus.com/locations/,
Philippines,TaskUs,Bohol,,,Company website,https://www.taskus.com/locations/,
Philippines,TaskUs,Bulacan,,,Company website,https://www.taskus.com/locations/,
Philippines,TaskUs,Cavite (Imus),,,Company website,https://www.taskus.com/locations/,
Philippines,TaskUs,Cavite (Molino),,,Company website,https://www.taskus.com/locations/,
Philippines,TaskUs,La Union,,,Company website,https://www.taskus.com/locations/,
Philippines,TaskUs,Las Piñas,,,Company website,https://www.taskus.com/locations/,
Philippines,TaskUs,Pampanga,,,Company website,https://www.taskus.com/locations/,
Philippines,TaskUs,Rizal,,,Company website,https://www.taskus.com/locations/,
Serbia,Centific,Belgrade,,,Company website,https://www.centific.com/company/locations,
Serbia,"TaskUs, Inc.",Belgrade,,,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Singapore,Centific,Singapore,,,Company website,https://www.centific.com/company/locations,
Spain,Centific,Barcelona,,,Company website,https://www.centific.com/company/locations,
Taiwan,Centific,Taiwan,,,Company website,https://www.centific.com/company/locations,
Taiwan,CloudFactory,.,,,Company website,https://www.cloudfactory.com/careers,
Taiwan,TaskUs,Taipei,,,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Thailand,Ingedata,Phra Khanong,,,LinkedIn,https://www.linkedin.com/company/ingedata-group/?originalSubdomain=sg,
Uganda,Sama,Gulu,,,Company website,https://www.sama.com/our-team,
Uganda,Sama,Kampala,,,Company website,https://www.sama.com/our-team,
Ukraine,Keymakr,.,,,LinkedIn,"https://www.linkedin.com/company/keymakr/people/
https://dataannotationcompanies.com/company/keymakr
https://segments.ai/data-labeling-companies/keymakr/",
United Kingdom,CloudFactory,Reading,,,Company website,https://craft.co/cloudfactory/locations,
United Kingdom,TaskUs,London,,,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
United States,DesiCrew,"Fremont, CA",,,Company website,https://desicrew.in/about-us/company-profile/,
United States,iMerit,"New Orleans, LA",,,Company website,https://imerit.ai/about-us/?utm_medium=ppc&utm_source=adwords&utm_campaign=Omni%20Lab%20l%20Google%20Ads%20l%20Brand%20l%20US&utm_term=imerit&utm_content=Brand,
Zambia,Impact Enterprises,Chipata,,,LinkedIn,https://www.linkedin.com/company/impact-enterprises,
